date,action,name,rate,target
Oct-30-18,Downgrade,BofA/Merrill,Buy to Underperform,
Oct-31-18,Downgrade,Credit Suisse,Outperform to Neutral,
Dec-21-18,Upgrade,BofA/Merrill,Underperform to Buy,
Jan-07-19,Upgrade,UBS,Neutral to Buy,
Jan-10-19,Upgrade,HSBC Securities,Hold to Buy,
