date,action,name,rate,target
Oct-19-18,Initiated,Imperial Capital,In-line,
Oct-22-18,Downgrade,Raymond James,Outperform to Mkt Perform,
Nov-09-18,Downgrade,Evercore ISI,Outperform to In-line,
Nov-15-18,Downgrade,Citigroup,Buy to Neutral,
Nov-16-18,Downgrade,Imperial Capital,In-line to Underperform,$82 to $68
Dec-18-18,Resumed,Citigroup,Neutral,$85
Jan-17-19,Upgrade,UBS,Neutral to Buy,
Feb-15-19,Upgrade,Stifel,Sell to Hold,
Feb-20-19,Reiterated,Imperial Capital,Underperform,$68 to $77
May-09-19,Upgrade,Citigroup,Neutral to Buy,
