date,title,source
Oct-17-18,"Maxar Third Quarter 2018 Investor Call Scheduled for Wednesday, October 31",CNW Group
Oct-17-18,Maxar Technologies' DigitalGlobe Expands NASA Partnership with New Sole-Source Contract for Commercial Earth Observation Data,PR Newswire
Oct-18-18,Maxar's Radiant Solutions Awarded $92 Million Small Business Innovation Research Phase III contract by the National Geospatial-Intelligence Agency,CNW Group
Oct-19-18,Maxar Technologies' MDA Announces New LaunchPad Program to Benefit Technology and Innovation in Canada,CNW Group
Oct-25-18,Maxar's SSL Delivers Two Earth Observation Satellites to Vandenberg Launch Base,CNW Group
Oct-26-18,Treat Aurora Cannabis Stock Normally at Your Own Peril,InvestorPlace
Oct-29-18,Maxar Technologies' MDA to Design Lunar Rover Concept for Canadian Space Agency,CNW Group
Oct-31-18,Hagens Berman Notifies Investors in Maxar Technologies (MAXR) of the Firm's Investigation of Possible Disclosure Violations,PR Newswire
Oct-31-18,Why Maxar Technologies Stock Just Imploded -- Down 41%,Motley Fool
Oct-31-18,"Maxar Technologies reports third quarter 2018 results, declares quarterly dividend",PR Newswire
Nov-01-18,Maxar Technologies Stock Suffers Multiple Downgrades,Motley Fool
Nov-05-18,Maxar Technologies to Present at Upcoming Investor Conference,CNW Group
Nov-06-18,"Maxar Technologies To Discuss EnhancedView Follow-On Contract Extension on Tuesday, November 6",PR Newswire
Nov-06-18,Maxar Technologies' DigitalGlobe Awarded Imagery Contract Extension with U.S. Government,CNW Group
Nov-08-18,Maxar's Radiant Solutions Selected by DARPA to Develop Next-Generation Optical System for Agile Earth Observation Satellites,PR Newswire
Nov-09-18,Maxar Technologies' DigitalGlobe Completes Continent-wide Mapping Mission for PSMA Australia,PR Newswire
Nov-12-18,Maxar Technologies Announces Recent Insider Purchases,PR Newswire
Nov-12-18,Maxar Technologies Announces Recent Insider Purchases,CNW Group
