date,action,name,rate,target
Nov-07-18,Upgrade,Tudor Pickering,Hold to Buy,
Nov-07-18,Upgrade,Raymond James,Mkt Perform to Outperform,
Nov-30-18,Initiated,Cowen,Outperform,
Dec-06-18,Initiated,Stephens,Overweight,$40
Dec-10-18,Downgrade,Evercore ISI,Outperform to In-line,
Dec-20-18,Downgrade,CapitalOne,Overweight to Underweight,
Dec-24-18,Upgrade,CapitalOne,Underweight to Equal Weight,
Jan-09-19,Upgrade,Morgan Stanley,Equal-Weight to Overweight,
Apr-29-19,Upgrade,JP Morgan,Neutral to Overweight,$28 to $32
Apr-30-19,Upgrade,Barclays,Underweight to Equal Weight,$26 to $33
