date,action,name,rate,target
Oct-26-18,Upgrade,Oppenheimer,Perform to Outperform,$37
Oct-26-18,Reiterated,Barclays,Underweight,$24 to $27
Dec-06-18,Initiated,Guggenheim,Buy,$39
Jan-10-19,Upgrade,BofA/Merrill,Underperform to Buy,
Feb-13-19,Reiterated,BTIG Research,Buy,$30 to $42
Mar-27-19,Reiterated,Cascend Securities,Buy,$45
Apr-23-19,Upgrade,Cowen,Underperform to Market Perform,
Apr-24-19,Reiterated,Oppenheimer,Outperform,$33 to $44
Apr-24-19,Reiterated,Canaccord Genuity,Hold,$32 to $42
Jun-04-19,Initiated,Loop Capital,Buy,
