date,title,source
Oct-19-18,How Exposed to Italy Are Index Funds?,Morningstar
Oct-29-18,Hedged International Bond ETFs to Mitigate Foreign Exchange Risks,ETF Trends
Dec-20-18,International Bond ETF (BNDX) Hits New 52-Week High,Zacks
Feb-08-19,4 ETF Areas Getting All Love in Valentine Month,Zacks
Feb-15-19,"ETF Investors Are Picking Up Yield-Generating, Low-Risk Strategies",ETF Trends
Feb-26-19,Vanguard Cuts ETF Fees,Morningstar
Feb-27-19,Vanguard Intensifies ETF Fee War Again,Zacks
Feb-28-19,Loved and Hated ETF Areas of February,Zacks
Mar-11-19,Vanguard ETFs Or Mutual Funds?,ETF.com
Mar-20-19,2 Int'l Bond ETFs Investors Love,ETF.com
Mar-27-19,Bond ETFs Rallying After Fed Pivot,ETF.com
Mar-28-19,Q1 ETF Asset Report: Emerging Markets Win,Zacks
May-01-19,Bond ETFs Gaining Market Share,ETF.com
May-13-19,7 Bond ETFs to Buy,InvestorPlace
May-23-19,5 of the Best Vanguard Funds to Buy,InvestorPlace
