date,action,name,rate,target
Nov-30-18,Initiated,Cowen,Market Perform,
Dec-06-18,Initiated,Stephens,Equal-Weight,$29
Dec-06-18,Initiated,MKM Partners,Buy,$28
Dec-07-18,Downgrade,JP Morgan,Overweight to Neutral,
Dec-11-18,Downgrade,Wells Fargo,Outperform to Market Perform,
Dec-20-18,Downgrade,CapitalOne,Overweight to Equal Weight,
Feb-19-19,Upgrade,SunTrust,Hold to Buy,$23 to $29
Apr-01-19,Reiterated,Imperial Capital,Outperform,$31 to $33
May-17-19,Downgrade,MKM Partners,Buy to Neutral,
May-28-19,Upgrade,MKM Partners,Neutral to Buy,
