date,action,name,rate,target
Mar-15-19,Downgrade,Citigroup,Buy to Neutral,$59 to $63
Apr-04-19,Downgrade,Evercore ISI,Outperform to In-line,
Jun-11-19,Initiated,Atlantic Equities,Overweight,$75
