date,action,name,rate,target
Oct-24-18,Upgrade,CapitalOne,Equal Weight to Overweight,
Nov-30-18,Initiated,Cowen,Market Perform,
Dec-06-18,Initiated,Stephens,Overweight,$50
Dec-06-18,Initiated,MKM Partners,Buy,$38
Dec-07-18,Downgrade,JP Morgan,Overweight to Neutral,
Dec-10-18,Downgrade,Evercore ISI,Outperform to In-line,
Dec-20-18,Downgrade,CapitalOne,Overweight to Underweight,
Dec-21-18,Upgrade,CapitalOne,Underweight to Equal Weight,
Jan-08-19,Downgrade,Johnson Rice,Buy to Accumulate,
Jan-16-19,Downgrade,Barclays,Overweight to Equal Weight,$42 to $33
Mar-01-19,Downgrade,RBC Capital Mkts,Outperform to Sector Perform,$39 to $38
