date,action,name,rate,target
Oct-18-18,Downgrade,BofA/Merrill,Buy to Neutral,
Oct-22-18,Downgrade,Deutsche Bank,Buy to Hold,$34 to $24
Oct-24-18,Upgrade,BTIG Research,Sell to Neutral,
Nov-12-18,Downgrade,BofA/Merrill,Neutral to Underperform,
Jan-07-19,Upgrade,KeyBanc Capital Mkts,Sector Weight to Overweight,
Jan-11-19,Initiated,Buckingham Research,Neutral,$30
Jan-11-19,Downgrade,RBC Capital Mkts,Sector Perform to Underperform,
Feb-14-19,Downgrade,Raymond James,Outperform to Mkt Perform,
Feb-28-19,Downgrade,Evercore ISI,Outperform to In-line,
Apr-10-19,Upgrade,JP Morgan,Underweight to Neutral,$24 to $25.50
Apr-24-19,Upgrade,BTIG Research,Sell to Neutral,
