date,title,source
Oct-17-18,Should You Be Holding Concho Resources Inc (NYSE:CXO)?,Simply Wall St.
Oct-17-18,"With crude above $70, its time to sell your oil stocks",MarketWatch
Oct-18-18,"With crude around $70, its time to sell your oil stocks",MarketWatch
Oct-18-18,Halliburton (HAL) Q3 Earnings: Permian Constraints a Worry,Zacks
Oct-19-18,"New Research: Key Drivers of Growth for Pepsico, SBA Communications, Cavco Industries, Concho Resources, Enstar Group, and Amedisys  Factors of Influence, Major Initiatives and Sustained Production",GlobeNewswire
Oct-24-18,Shale explorer Felix Energy hires Jefferies to seek sale -sources,Reuters
Oct-29-18,Is a Surprise Coming for Concho Resources (CXO) This Earnings Season?,Zacks
