date,action,name,rate,target
Oct-24-18,Resumed,Wells Fargo,Outperform,$209
Nov-01-18,Upgrade,Bernstein,Mkt Perform to Outperform,
Nov-30-18,Initiated,Cowen,Outperform,
Dec-06-18,Initiated,Stephens,Equal-Weight,$185
Dec-06-18,Initiated,MKM Partners,Buy,$176
Dec-10-18,Upgrade,Seaport Global Securities,Neutral to Buy,$145 to $160
Jan-02-19,Initiated,KeyBanc Capital Mkts,Overweight,$118
Jan-09-19,Upgrade,Morgan Stanley,Equal-Weight to Overweight,
Jan-16-19,Upgrade,Barclays,Equal Weight to Overweight,$171 to $162
Jan-29-19,Upgrade,Stephens,Equal-Weight to Overweight,
Jan-30-19,Initiated,Mizuho,Buy,$156
