date,action,name,rate,target
Oct-23-18,Initiated,BofA/Merrill,Buy,
Nov-02-18,Downgrade,Piper Jaffray,Neutral to Underweight,
Feb-06-19,Reiterated,BofA/Merrill,Buy,$150 to $157
