date,title,source
Oct-29-18,Global Ship Lease: 3Q Earnings Snapshot,Associated Press
Oct-29-18,Global Ship Lease Reports Results for the Third Quarter of 2018,GlobeNewswire
Oct-29-18,Global Ship Lease Announces Strategic Combination with Poseidon Containers,GlobeNewswire
Oct-30-18,[$$] The Add-On Deal Roundup: Oct. 30,The Wall Street Journal
Nov-01-18,Global Ship Lease Provides Supplemental Information on its Strategic Combination with Poseidon Containers,GlobeNewswire
Nov-05-18,Edited Transcript of GSL earnings conference call or presentation 30-Oct-18 2:00pm GMT,Thomson Reuters StreetEvents
Nov-06-18,"Global Ship Lease, Inc. -- Moody's affirms GSL's rating at B3 after merger with Poseidon",Moody's
Nov-06-18,Edited Transcript of GSL earnings conference call or presentation 30-Oct-18 2:00pm GMT,Thomson Reuters StreetEvents
Nov-09-18,Global Ship Lease Announces Annual Mandatory Offer to Purchase up to $20 Million of First Priority Secured Notes,GlobeNewswire
Nov-09-18,Global Ship Lease Announces New Long-Term Charter Agreements between Poseidon Containers and CMA CGM,GlobeNewswire
Nov-13-18,Global Ship Lease Announces New Charter at Increased Rate and Exercise of Extension Options,GlobeNewswire
Nov-13-18,Global Ship Lease Receives Continued Listing Notice from NYSE,GlobeNewswire
Nov-15-18,Global Ship Lease Completes Strategic Combination with Poseidon Containers and Opportunistic Refinancings of a Portion of Poseidon Containers Secured Debt,GlobeNewswire
Nov-20-18,"New Research: Key Drivers of Growth for New Home, Moelis, Global Ship Lease, Azure Power Global, GP Strategies, and Charah Solutions  Factors of Influence, Major Initiatives and Sustained Production",GlobeNewswire
Nov-30-18,Does The Global Ship Lease Inc (NYSE:GSL) Share Price Fall With The Market?,Simply Wall St.
