date,action,name,rate,target
Dec-10-18,Upgrade,UBS,Sell to Neutral,
Jan-08-19,Downgrade,Credit Suisse,Outperform to Neutral,
Jan-09-19,Initiated,Cowen,Market Perform,$22
Jan-09-19,Downgrade,Citigroup,Buy to Neutral,
Jan-18-19,Downgrade,Longbow,Buy to Neutral,
Jan-22-19,Downgrade,Jefferies,Buy to Hold,
Jan-28-19,Upgrade,Morgan Stanley,Underweight to Equal-Weight,
Feb-21-19,Upgrade,Berenberg,Hold to Buy,$30
Feb-27-19,Reiterated,BofA/Merrill,Buy,$28 to $31
Apr-09-19,Downgrade,Credit Suisse,Neutral to Underperform,$21 to $13
Apr-11-19,Downgrade,BofA/Merrill,Buy to Underperform,$31 to $18
May-03-19,Reiterated,BofA/Merrill,Underperform,$18 to $12
May-08-19,Downgrade,UBS,Neutral to Sell,$22 to $10
