date,action,name,rate,target
Oct-18-18,Downgrade,BofA/Merrill,Buy to Neutral,
Oct-22-18,Downgrade,Morgan Stanley,Equal-Weight to Underweight,
Oct-26-18,Reiterated,Cowen,Market Perform,$151 to $153
Oct-26-18,Downgrade,TD Securities,Buy to Hold,
Jan-08-19,Upgrade,Seaport Global Securities,Neutral to Buy,$165
Jan-08-19,Upgrade,RBC Capital Mkts,Sector Perform to Outperform,
Jan-08-19,Upgrade,Cowen,Market Perform to Outperform,$153 to $178
Jan-08-19,Initiated,Atlantic Equities,Neutral,
Mar-19-19,Downgrade,Loop Capital,Buy to Hold,
Apr-23-19,Reiterated,Cowen,Outperform,$178 to $187
Jun-13-19,Downgrade,Barclays,Overweight to Equal Weight,$190 to $170
Jun-17-19,Downgrade,Bernstein,Outperform to Mkt Perform,
