date,action,name,rate,target
Oct-24-18,Initiated,Telsey Advisory Group,Market Perform,$120
Nov-26-18,Upgrade,Dougherty & Company  ,Neutral to Buy,$130
Dec-10-18,Upgrade,Loop Capital,Hold to Buy,
Dec-13-18,Upgrade,Goldman,Neutral to Buy,
Jan-07-19,Upgrade,Morgan Stanley,Equal-Weight to Overweight,
Jan-09-19,Downgrade,Loop Capital,Buy to Hold,
Feb-22-19,Downgrade,JP Morgan,Overweight to Neutral,
Mar-07-19,Initiated,Oppenheimer,Outperform,$140
Mar-19-19,Upgrade,Loop Capital,Hold to Buy,$120 to $145
Mar-20-19,Initiated,Evercore ISI,Outperform,$140
Mar-28-19,Reiterated,Telsey Advisory Group,Market Perform,$120 to $130
Apr-11-19,Upgrade,JP Morgan,Neutral to Overweight,$133 to $150
Apr-15-19,Initiated,BofA/Merrill,Buy,$150
May-06-19,Downgrade,Barclays,Overweight to Equal Weight,$128 to $140
