date,action,name,rate,target
Dec-10-18,Initiated,Credit Suisse,Outperform,
Jan-08-19,Upgrade,Morgan Stanley,Equal-Weight to Overweight,
Jan-14-19,Initiated,Daiwa Securities,Outperform,
