date,action,name,rate,target
Oct-25-18,Reiterated,Cowen,Market Perform,$142 to $132
Oct-26-18,Reiterated,Imperial Capital,In-line,$140 to $124
Nov-12-18,Initiated,Goldman,Buy,$167
Dec-04-18,Reiterated,Imperial Capital,In-line,$124 to $152
Dec-06-18,Upgrade,Evercore ISI,In-line to Outperform,
Jan-16-19,Reiterated,Imperial Capital,In-line,$125 to $134
Jan-31-19,Reiterated,Cowen,Market Perform,$130 to $147
Feb-01-19,Upgrade,Imperial Capital,In-line to Outperform,$134 to $168
Feb-04-19,Initiated,Vertical Research,Buy,$165
Feb-27-19,Downgrade,Evercore ISI,Outperform to In-line,
