date,action,name,rate,target
Oct-18-18,Upgrade,Goldman,Sell to Neutral,
Feb-06-19,Downgrade,William Blair,Outperform to Mkt Perform,
May-03-19,Upgrade,Northcoast,Neutral to Buy,
Jun-20-19,Reiterated,BofA/Merrill,Buy,$70 to $75
