date,title,source
Oct-17-18,"Chinas CNPC Boosts Global Oil, Gas Ties",Oilprice.com
Oct-17-18,Oil Biggies Spur Renewable Energy Game: Who Leads the Race?,Zacks
Oct-18-18,"The Zacks Analyst Blog Highlights: TOTAL, Royal Dutch, Equinor, BP and Exxon",Zacks
Oct-22-18,Q3 Earnings Revive Wall Street's Fortunes: 5 Value Picks,Zacks
Oct-23-18,"The Zacks Analyst Blog Highlights: Equinor, Atkore, RH, Vishay and Eni",Zacks
Oct-24-18,Is Equinor ASAs (OB:EQNR) ROE Of 11% Concerning?,Simply Wall St.
Oct-25-18,OPEC Lurches From Pump All You Can to Mulling Cuts in Just Days,Bloomberg
Oct-25-18,Equinor: 3Q Earnings Snapshot,Associated Press
Oct-25-18,"[$$] Equinor posts narrow Q3 miss, but keeps cutting costs",Financial Times
Oct-26-18,This Big Oil Company Continues to Play It Safe Despite $75 Oil,Motley Fool
Oct-26-18,Oil Set for Weekly Loss on Saudi Supply Pledge and Risk Aversion,Bloomberg
Oct-26-18,"Discipline, Baby, Discipline! Big Oil Resists the Urge to Spend",Bloomberg
Oct-29-18,Big Oil Wont Spend Despite Fat Profits,Oilprice.com
Oct-29-18,Equinor Strikes More Oil At Giant Johan Castberg Field,Oilprice.com
Oct-31-18,Is Equinor (EQNR) a Great Value Stock Right Now?,Zacks
Oct-31-18,Statoil Sees Hammer Chart Pattern: Time to Buy?,Zacks
Nov-09-18,Is Statoil ASA (EQNR) Stock Outpacing Its Oils-Energy Peers This Year?,Zacks
Nov-09-18,Oil Teeters Near Record Losing Streak After Entering Bear Market,Bloomberg
Nov-13-18,"The Zacks Analyst Blog Highlights: Eni, Equinor, Enterprise Products, Energen and Phillips 66",Zacks
Nov-15-18,"Oil Prices Crash, But Oil Majors Arent Panicking",Oilprice.com
Nov-16-18,Geospace Technologies Corp (GEOS) Q4 2018 Earnings Conference Call Transcript,Motley Fool
Nov-16-18,Is Equinor (EQNR) Stock Undervalued Right Now?,Zacks
Nov-16-18,Energy powerhouse Equinor buys minority stake in Scatec Solar,CNBC
Nov-26-18,Ormat to Gain From Expanding Global Geothermal Energy Market,Zacks
Nov-27-18,Is Statoil ASA (EQNR) Outperforming Other Oils-Energy Stocks This Year?,Zacks
Nov-27-18,BP's Bid to Purchase TOTAL Stakes in Venezuela Rejected,Zacks
Nov-29-18,Petrobras (PBR) to Vend 37 Oilfields for $823M to Trim Debt,Zacks
Nov-29-18,Equinor's first solar plant starts commercial operation,CNBC
Nov-29-18,Should Equinor ASA (OB:EQNR) Be Part Of Your Dividend Portfolio?,Simply Wall St.
Nov-30-18,Equinor (EQNR) Initiates Operations in Apodi Solar Project,Zacks
Nov-30-18,"Dow 30 Stock Roundup: BA's $383M Modification Contract, MSFT's Army Contract",Zacks
Dec-03-18,Is Equinor (EQNR) Stock Undervalued Right Now?,Zacks
Dec-03-18,Are Investors Undervaluing Equinor (EQNR) Right Now?,Zacks
Dec-06-18,"Petrobras Ups Investment, Divestment Goals in New 5-Year Plan",Zacks
Dec-06-18,"Equinor (EQNR), Faroe Swap Assets to Rebalance Portfolio",Zacks
Dec-10-18,UK continental shelf still worth oil investment despite Brexit - Equinor,Reuters
Dec-10-18,Equinor's (EQNR) Troll Phase 3 Development Receives Nod,Zacks
Dec-10-18,"Equinor halts some Mongstad gasoline production, evacuates workers after leak",Reuters
Dec-10-18,"Equinor halts some Mongstad gasoline production, evacuates workers after leak",Reuters
Dec-11-18,Big Coal Wants You to Pay to Fix Its Problem,Bloomberg
Dec-12-18,"[$$] Brexit or Not, Britains Oil and Gas Business Is Booming",The Wall Street Journal
Dec-12-18,"Equinor Gets New Drilling Permit, to Stay in UK Despite Brexit",Zacks
Dec-12-18,"Natural Resource Sells Assets for $205M, To Lower Debts",Zacks
Dec-12-18,"[$$] Brexit or Not, Britain's Oil and Gas Business Is Booming",The Wall Street Journal
Dec-13-18,"U.S. offshore wind lease bids at $285 mln, will continue Friday",Reuters
Dec-14-18,Europeans sweep record U.S. offshore wind auction,Reuters
Dec-17-18,Equinor Starts Up Major Gas Field In Norwegian Sea,Oilprice.com
Dec-17-18,Moving Average Crossover Alert: Statoil,Zacks
Dec-18-18,Is Booking Holdings Inc. (BKNG) A Good Stock To Buy?,Insider Monkey
Dec-19-18,Equinor halts output at Norway methanol plant due fire,Reuters
Dec-20-18,"Shell Revs up Bets on Renewables, Buys Stake in Cleantech",Zacks
Dec-21-18,Equinor can't meet methanol deliveries after fire at plant,Reuters
Dec-21-18,Three Stocks to Bet on Europe,MoneyShow
Dec-21-18,"Norway's Tjeldbergodden still shut, Equinor cannot meet methanol deliveries",Reuters
Dec-24-18,Petrobras (PBR) Up 24% Over a Year: What's Going in its Favor?,Zacks
Dec-27-18,Oil Majors Submit Interests to Explore Oil Blocks in Ghana,Zacks
Dec-27-18,"Shell Brings Prelude Facility Online, Ups Renewable Spending",Zacks
Dec-31-18,Equinor Concludes Sale of Stake in King Lear & Tommeliten,Zacks
Jan-02-19,3rd firm confirms bid on New Jersey wind energy project,Associated Press
Jan-04-19,What You Must Know About Equinor ASAs (OB:EQNR) Financial Strength,Simply Wall St.
Jan-11-19,Norway's Tjeldbergodden methanol plant remains shut -Equinor,Reuters
Jan-11-19,"Equinor sets up office in New Delhi to support oil marketing, trading",Reuters
Jan-15-19,Shell (RDS.A) Eyes Eneco Buyout to Boost Renewables Business,Zacks
Jan-16-19,"Equinor Wins 29 Licenses in NCS, Finds Gas in Ragnfrid North",Zacks
Jan-17-19,Schlumberger wins contract to manage Equinor project -source,Reuters
Jan-17-19,Petrobras (PBR) Misses 2018 Production &amp; Divestment Targets,Zacks
Jan-22-19,"Equnior Lowers Supply Chain Emissions in NCS by 600,000 Tons",Zacks
Jan-23-19,Norway gas to benefit from end to coal in Germany - Equinor,Reuters
Jan-23-19,Newcomers pile into race for Qatar LNG,Reuters
Jan-23-19,Newcomers pile into race for Qatar LNG,Reuters
Jan-24-19,Norway Labor Lawmaker Says Hes Open to Debate on Oil Policy,Bloomberg
Jan-25-19,Energy Majors Queuing Up for Stakes in Qatar's LNG Expansion,Zacks
Jan-28-19,"New Houston VC, accelerator group partners with energy giants",American City Business Journals
Jan-28-19,Germanys Rush To Ditch Coal Is Great News For Norway,Oilprice.com
Jan-28-19,Test well boosts Valeura's confidence in Turkey gas project,Reuters
Feb-04-19,Trump Taps Former Oil Lobbyist David Bernhardt to Lead Interior,Bloomberg
Feb-04-19,Heres What Equinor ASAs (OB:EQNR) ROCE Can Tell Us,Simply Wall St.
Feb-06-19,Libya's Haftar Says His Forces Have Taken Largest Oil Field,Bloomberg
Feb-06-19,"Equinor hit by earnings miss, soft 2019 production outlook",Reuters
Feb-06-19,[$$] European Equities Market Talk Roundup,The Wall Street Journal
Feb-06-19,Equinor: 4Q Earnings Snapshot,Associated Press
Feb-06-19,[$$] Norways Equinor misses profit forecasts on late 2018 oil price fall,Financial Times
Feb-07-19,"Equinor (EQNR) Q4 Earnings Lag Estimates, Revenues Up Y/Y",Zacks
Feb-07-19,Equinor to drill five exploration wells off Britain in 2019,Reuters
Feb-13-19,Dare I Say It? Oil Majors Look Like an Attractive Buy,TheStreet.com
Feb-14-19,Three companies bids to supply New York with offshore wind power,Reuters
Feb-14-19,Norway's Equinor bids to supply New York with offshore wind power,Reuters
Feb-15-19,"Equinor, 3 JVs vie for offshore wind power park in New York",Reuters
Feb-15-19,"UPDATE 3-Equinor, 3 JVs vie for offshore wind power park in New York",Reuters
Feb-19-19,Transocean Ltd (RIG) Q4 2018 Earnings Conference Call Transcript,Motley Fool
Feb-19-19,Drilling Permit Roundup: Private equity-backed company among most active in Lee County,American City Business Journals
Feb-25-19,Evergy's (EVRG) Q4 Earnings and Revenues Miss Estimates,Zacks
Mar-05-19,Equinor Concludes Drilling of 34/8-18 S Well in North Sea,Zacks
Mar-05-19,Equinor's Mariner oilfield startup to be delayed until fourth quarter 2019 - sources,Reuters
Mar-08-19,"Trade Trouble, Lifting Your Tax Refund, and More to Know About Stocks for Friday",Barrons.com
Mar-08-19,Norways Wealth Fund Is Right to Dump Oil Stocks,Bloomberg
Mar-08-19,The Brent of Natural Gas? ICE has Big Plans for Its Dutch Market,Bloomberg
Mar-11-19,A Solar Companys Play in Emerging Markets Could Go Bad,Barrons.com
Mar-12-19,Petrobras to Cut Costs and Rev Up Divestments to Deleverage,Zacks
Mar-14-19,"CERAWEEK-Not enough renewable projects around, Equinor boss tells politicians",Reuters
Mar-14-19,Champions of Big Oil Extend Olive Branch to Green New Dealers,Bloomberg
Mar-15-19,"[$$] Equinor Raises Renewable Energy Production, Meets Intensity Goal",The Wall Street Journal
Mar-15-19,Danske Commodities names CFO as new chief executive from April,Reuters
Mar-18-19,Petrobras' (PBR) Strategic Strides Make it a Compelling Buy,Zacks
Mar-18-19,Equinor (EQNR) Contemplates the Sale of Eagle Ford Stake,Zacks
Mar-18-19,How Do Analysts See Equinor ASA (OB:EQNR) Performing In The Next Couple Of Years?,Simply Wall St.
Mar-19-19,"After Libya And Venezuela, Is This The Next OPEC Wildcard?",Oilprice.com
Mar-19-19,Equinor Inks Deal With AcuPetroleo for Oil Transshipment,Zacks
Mar-20-19,Petrobras (PBR) Eyes $10B on Government Dispute Resolution,Zacks
Mar-22-19,"Shell (RDS.A) Bets Big in GoM, Spends $84.8M in High Bids",Zacks
Mar-22-19,Tanzania to Start Talks for $30 Billion LNG Project in April,Bloomberg
Mar-26-19,"Shell Ships 1st NGL From Prelude, to Rebrand First Utility",Zacks
Mar-27-19,Oil Slips as Growth in U.S. Supplies Feeds Into Market Anxieties,Bloomberg
Mar-27-19,Equinor ASA (NYSE:EQNR): Are Hedge Funds Right About This Stock?,Insider Monkey
Mar-28-19,Is Murphy Oil Mulling Further Asset Sales to Boost Portfolio?,Zacks
Apr-08-19,Petrobras Divestment Goals to Get Boost from $8.6B TAG Sale,Zacks
Apr-08-19,Norway Is Walking Away From Billions of Barrels of Oil and Gas,Bloomberg
Apr-09-19,Norway's Aasta Hansteen gas field remains shut as Equinor investigates leak,Reuters
Apr-10-19,Equinor again delays start-up of Britain's Mariner oilfield,Reuters
Apr-10-19,Equinor again delays start-up of Britain's Mariner oilfield,Reuters
Apr-12-19,Shell (RDS.A) to Divest Non-Op Stake in a GoM Field for $965M,Zacks
Apr-12-19,Fear Grips Norway's Oil Industry as Political Risk Explodes,Bloomberg
Apr-15-19,Large-Cap Stocks With Superior Earnings Yields,GuruFocus.com
Apr-16-19,Equinor's Aasta Hansteen seen restarting on April 17 -Gassco,Reuters
Apr-23-19,U.S. Oil Is Flowing Freely to China Again After Slowing to Trickle,Bloomberg
Apr-24-19,Oil firm Equinor agrees climate change targets with investors,Reuters
Apr-25-19,Oil firm Equinor agrees climate change targets with investors,Reuters
Apr-29-19,Environmental activists board Equinor rig set to drill in Arctic,Reuters
Apr-30-19,Activists abandon occupation of drilling rig in Arctic,Reuters
May-03-19,"Equinor first quarter beats forecast, Sverdrup field on track for November start",Reuters
May-03-19,"Equinor Q1 beats forecast, Sverdrup field on track for November start",Reuters
May-03-19,Equinor: 1Q Earnings Snapshot,Associated Press
May-03-19,Equinor Produces More Oil Than Predicted,Bloomberg
