date,title,source
Oct-19-18,U.S. Air Force Joins El Paso Electric to Launch New Solar Facility at Holloman,Business Wire
Oct-31-18,Women in the Workforce tour brings Texas comptroller to San Antonio,American City Business Journals
Nov-01-18,El Paso Electric: 3Q Earnings Snapshot,Associated Press
Nov-01-18,El Paso Electric Announces Third Quarter 2018 Financial Results,Business Wire
Nov-06-18,"Analysis: Positioning to Benefit within Mercury, Lincoln Electric, Sprint, Fred's, NewLink Genetics, and El Paso Electric  Research Highlights Growth, Revenue, and Consolidated Results",GlobeNewswire
Nov-08-18,Edited Transcript of EE earnings conference call or presentation 1-Nov-18 3:30pm GMT,Thomson Reuters StreetEvents
