date,action,name,rate,target
Dec-06-18,Initiated,Stephens,Overweight,$11
Jan-18-19,Reiterated,Imperial Capital,Outperform,$8 to $7
Feb-27-19,Reiterated,Imperial Capital,Outperform,$7 to $9
