date,action,name,rate,target
Dec-11-18,Upgrade,Goldman,Neutral to Buy,
Dec-20-18,Upgrade,Edward Jones,Hold to Buy,
Jan-16-19,Upgrade,Stephens,Equal-Weight to Overweight,
Jan-22-19,Upgrade,William Blair,Mkt Perform to Outperform,
Jan-28-19,Upgrade,RBC Capital Mkts,Sector Perform to Outperform,
Jan-29-19,Downgrade,SunTrust,Buy to Hold,
Feb-07-19,Initiated,Buckingham Research,Buy,$100
Apr-09-19,Initiated,Keefe Bruyette,Mkt Perform,$101
May-21-19,Initiated,MoffettNathanson,Buy,$108
May-31-19,Initiated,Susquehanna,Neutral,
Jun-05-19,Upgrade,SunTrust,Hold to Buy,$91 to $100
Jun-19-19,Resumed,Wells Fargo,Outperform,$110
