date,action,name,rate,target
Oct-26-18,Reiterated,Imperial Capital,Outperform,$95 to $90
Nov-12-18,Initiated,Goldman,Buy,$81
Nov-19-18,Initiated,Credit Suisse,Outperform,$81
Nov-28-18,Reiterated,Cowen,Outperform,$80 to $84
Nov-29-18,Reiterated,Imperial Capital,Outperform,$90 to $102
Nov-29-18,Reiterated,BofA/Merrill,Neutral,$63 to $71
Jan-09-19,Reiterated,Imperial Capital,Outperform,$102 to $90
Jan-10-19,Upgrade,JP Morgan,Underweight to Neutral,
Jan-15-19,Reiterated,Imperial Capital,Outperform,$90 to $93
Jan-28-19,Upgrade,Macquarie,Neutral to Outperform,
Jan-28-19,Reiterated,Imperial Capital,Outperform,$93 to $90
Feb-04-19,Initiated,Vertical Research,Hold,
Mar-08-19,Downgrade,Imperial Capital,Outperform to In-line,$90 to $61
Apr-04-19,Reiterated,BofA/Merrill,Neutral,$70 to $62
