date,action,name,rate,target
Nov-08-18,Reiterated,BofA/Merrill,Buy,$19 to $16
Nov-12-18,Upgrade,Credit Suisse,Neutral to Outperform,
Nov-30-18,Resumed,Cowen,Outperform,
Dec-06-18,Initiated,Stephens,Overweight,$14
Dec-10-18,Upgrade,Seaport Global Securities,Neutral to Buy,$16 to $13
Dec-14-18,Downgrade,Tudor Pickering,Buy to Hold,
Dec-20-18,Downgrade,CapitalOne,Overweight to Equal Weight,
Jan-09-19,Upgrade,CapitalOne,Equal Weight to Overweight,
Jan-16-19,Downgrade,Barclays,Overweight to Equal Weight,$14 to $10
Jan-23-19,Upgrade,Citigroup,Neutral to Buy,
