date,action,name,rate,target
Oct-23-18,Reiterated,Credit Suisse,Neutral,$137 to $119
Nov-08-18,Reiterated,Telsey Advisory Group,Market Perform,$160 to $105
Nov-08-18,Reiterated,BofA/Merrill,Neutral,$125 to $114
Nov-15-18,Initiated,Bernstein,Outperform,
Jan-31-19,Reiterated,Telsey Advisory Group,Market Perform,$105 to $125
Jan-31-19,Reiterated,ROTH Capital,Buy,$140 to $135
Jan-31-19,Reiterated,Nomura,Buy,$132 to $145
Jan-31-19,Reiterated,Morgan Stanley,Equal-Weight,$121 to $122
Jan-31-19,Reiterated,Macquarie,Neutral,$116 to $121
Mar-20-19,Resumed,Credit Suisse,Neutral,$108
Apr-08-19,Upgrade,Jefferies,Hold to Buy,$119 to $170
Apr-11-19,Resumed,Goldman,Neutral,
Apr-17-19,Reiterated,BofA/Merrill,Neutral,$145 to $150
Apr-25-19,Upgrade,BofA/Merrill,Neutral to Buy,$150 to $165
May-10-19,Reiterated,Telsey Advisory Group,Market Perform,$125 to $120
