date,action,name,rate,target
Nov-30-18,Initiated,Cowen,Outperform,
Dec-06-18,Initiated,MKM Partners,Buy,$76
Dec-20-18,Downgrade,CapitalOne,Overweight to Equal Weight,
Mar-19-19,Downgrade,Mizuho,Buy to Neutral,$51
Apr-01-19,Resumed,Citigroup,Buy,$65
Apr-25-19,Downgrade,Johnson Rice,Buy to Hold,
Apr-25-19,Downgrade,Jefferies,Buy to Hold,$79
Apr-26-19,Downgrade,Tudor Pickering,Buy to Hold,
Apr-30-19,Downgrade,Bernstein,Outperform to Mkt Perform,
May-29-19,Downgrade,Seaport Global Securities,Buy to Neutral,
