date,action,name,rate,target
Oct-19-18,Initiated,Wedbush ,Neutral,$17
Nov-05-18,Upgrade,Needham,Buy to Strong Buy,$23 to $31
Nov-09-18,Upgrade,Rosenblatt,Neutral to Buy,
Dec-06-18,Reiterated,BofA/Merrill,Neutral,$22 to $18
Jan-09-19,Initiated,Northland Capital,Outperform,$15
Jan-22-19,Initiated,Wells Fargo,Outperform,$20
Mar-11-19,Initiated,Barclays,Equal Weight,$16
Mar-12-19,Resumed,Morgan Stanley,Equal-Weight,$16
Mar-14-19,Reiterated,Needham,Strong Buy,$31 to $28
Apr-08-19,Upgrade,Bernstein,Mkt Perform to Outperform,$15
