date,action,name,rate,target
Oct-18-18,Upgrade,Goldman,Sell to Neutral,
Oct-22-18,Reiterated,B. Riley FBR,Neutral,$123 to $110
Jan-04-19,Downgrade,BofA/Merrill,Buy to Neutral,
Jan-24-19,Reiterated,SunTrust,Hold,$93 to $103
Jan-24-19,Reiterated,Robert W. Baird,Neutral,$115 to $97
Jan-24-19,Reiterated,RBC Capital Mkts,Outperform,$120 to $105
Jan-24-19,Reiterated,Nomura,Neutral,$100 to $95
Jan-24-19,Reiterated,Morgan Stanley,Equal-Weight,$103 to $100
Jan-24-19,Reiterated,Jefferies,Buy,$139 to $137
Mar-25-19,Downgrade,Bernstein,Outperform to Mkt Perform,
Apr-24-19,Reiterated,BofA/Merrill,Neutral,$114 to $122
Apr-30-19,Resumed,RBC Capital Mkts,Sector Perform,$124
