date,action,name,rate,target
Nov-08-18,Reiterated,BofA/Merrill,Neutral,$76 to $84
Dec-17-18,Reiterated,Chardan Capital Markets,Buy,$127.50
Feb-05-19,Upgrade,Raymond James,Outperform to Strong Buy,$94
Feb-25-19,Upgrade,Evercore ISI,In-line to Outperform,
Jun-05-19,Reiterated,Chardan Capital Markets,Buy,$127.50 to $145
Jun-14-19,Resumed,Raymond James,Outperform,
Jun-18-19,Reiterated,Chardan Capital Markets,Buy,$145 to $150
