date,action,name,rate,target
Nov-08-18,Downgrade,KeyBanc Capital Mkts,Overweight to Sector Weight,
Nov-14-18,Downgrade,Seaport Global Securities,Buy to Neutral,
Dec-13-18,Resumed,CL King,Neutral,
