date,action,name,rate,target
Oct-26-18,Reiterated,Barclays,Overweight,$165 to $160
Nov-29-18,Initiated,Telsey Advisory Group,Market Perform,$115
Jan-04-19,Upgrade,Goldman,Neutral to Buy,
Jan-09-19,Downgrade,Morgan Stanley,Overweight to Equal-Weight,
Feb-05-19,Reiterated,BofA/Merrill,Buy,$142 to $148
Feb-08-19,Reiterated,Telsey Advisory Group,Market Perform,$115 to $125
Feb-08-19,Reiterated,Needham,Buy,$115 to $125
Mar-01-19,Upgrade,Argus,Hold to Buy,
May-06-19,Downgrade,Susquehanna,Positive to Neutral,$170 to $141
May-21-19,Resumed,Needham,Hold,
May-22-19,Downgrade,Argus,Buy to Hold,
May-23-19,Downgrade,Citigroup,Buy to Neutral,$145 to $130
